;;;���������;���� 3;���� 2;���� 1;���� 4;���� 7
BAHB311396B;SKF;0;1567.5;1332.54;1175.46;1097.58;1081.74;1050.06
BAHB311424B;SKF;0;2376.66;2020.26;1782.66;1663.86;1640.1;1592.58
BAHB311443BB;SKF;0;1503.48;1277.76;1127.94;1052.7;1037.52;1007.16
BAHB633313EA;SKF;0;1160.94;986.7;870.54;812.46;801.24;778.14
BAHB633528F;SKF;0;2991.78;2542.98;2244;2094.18;2064.48;2004.42
BAHB633809AE;SKF;0;2562.12;2178;1921.92;1793.22;1768.14;1716.66
BAHB633966BB;SKF;0;1868.46;1587.96;1401.18;1308.12;1288.98;1252.02
BAHB633967;SKF;0;2800.38;2380.62;2100.12;1960.2;1932.48;1876.38
BAHB636035A;SKF;0;3272.94;2781.9;2454.54;2290.86;2258.52;2193.18
BAHB636060C;SKF;0;1106.16;940.5;829.62;774.18;762.96;741.18
BAHB636096A;SKF;0;1726.56;1467.84;1294.92;1208.46;1191.3;1156.98
BAHB636114A;SKF;0;1562.22;1327.92;1171.5;1093.62;1077.78;1046.76
BAHB636193C;SKF;0;1662.54;1413.06;1246.74;1163.58;1147.08;1114.08
BAR-0029D/VK108;SKF;0;4330.26;3680.82;3247.86;3031.38;2987.82;2901.36
BAR-0042AB/VK108;SKF;0;5881.26;4998.84;4410.78;4117.08;4058.34;3940.2
BAR-0045B/VK108;SKF;0;6164.4;5239.74;4623.3;4315.08;4253.7;4130.28
BAR-0048/VK108;SKF;0;5236.44;4451.04;3927.66;3665.64;3612.84;3508.56
BAR-0049E/VK108;SKF;0;6375.6;5419.26;4781.7;4462.92;4398.9;4271.52
BAR-0050AC/VK108;SKF;0;6238.98;5303.1;4679.4;4367.22;4305.18;4180.44
BAR-0051/VK210;SKF;0;7363.62;6258.78;5522.88;5154.6;5080.68;4933.5
BAR-0059AX;SKF;0;14863.86;12634.38;11148.06;10404.9;10255.74;9958.74
BAR-0078AA;SKF;0;7905.48;6719.46;5929.44;5534.1;5454.9;5296.5
BAR-0084D/VK407;SKF;0;4974.42;4227.96;3730.98;3482.16;3432.66;3333
BB1-0016A;SKF;0;1009.8;858.66;757.68;706.86;696.96;676.5
BB1-0078;SKF;0;621.06;528;465.96;434.94;428.34;415.8
BB1-0566;SKF;0;406.56;345.84;304.92;284.46;280.5;272.58
BB1-0603A;SKF;0;279.84;237.6;209.88;196.02;193.38;187.44
BB1-3036;SKF;0;416.46;353.76;312.18;291.72;287.1;279.18
BB1-3055B;SKF;0;1193.94;1015.08;895.62;835.56;823.68;799.92
BB1-3055C;SKF;0;972.18;826.32;729.3;680.46;670.56;651.42
BB1-3096;SKF;0;1081.08;918.72;811.14;757.02;745.8;724.02
BB1-3111;SKF;0;2166.78;1842.06;1624.92;1516.68;1494.9;1452
BB1-3160B;SKF;0;847.44;720.06;635.58;593.34;584.76;567.6
BB1-3162;SKF;0;2463.12;2093.52;1847.34;1723.92;1699.5;1650
BB1-3167;SKF;0;1897.5;1613.04;1422.96;1328.58;1309.44;1271.16
BB1-3172;SKF;0;1617.66;1374.78;1213.08;1132.56;1116.06;1083.72
BB1-3189;SKF;0;3876.18;3294.72;2907.3;2713.26;2674.32;2597.1
BB1-3255B;SKF;0;1547.7;1315.38;1160.94;1083.72;1067.88;1036.86
BB1-3357;SKF;0;6761.7;5747.28;5071.44;4733.52;4665.54;4530.24
BB1B362668A;SKF;0;2361.48;2007.06;1771.44;1653.3;1629.54;1582.02
BB1B362699C;SKF;0;5111.04;4344.12;3833.28;3577.86;3526.38;3424.08
BB1B362711A;SKF;0;3111.24;2644.62;2333.76;2178;2146.98;2084.28
BB1B362937B;SKF;0;2661.12;2261.82;1995.84;1862.52;1836.12;1782.66
BB1B363171C/HN3;SKF;0;3156.12;2682.9;2367.42;2209.02;2178;2114.64
BB1B363228DB;SKF;0;2180.64;1853.28;1635.48;1526.58;1504.8;1461.24
BB1B420205;SKF;0;269.94;229.68;202.62;188.76;186.12;180.84
BB1B446508AC;SKF;0;671.22;570.24;503.58;469.92;463.32;449.46
BB1B446740;SKF;0;1017.06;864.6;762.96;712.14;701.58;681.12
BC1-0013E;SKF;0;1731.84;1471.8;1298.88;1212.42;1195.26;1160.28
